Metric,Value
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00042368
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000422589
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000181439
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000422589
design_powergrid__voltage__worst,0.000422589
design_powergrid__voltage__worst__net:VPWR,1.19958
design_powergrid__drop__worst,0.00042368
design_powergrid__drop__worst__net:VPWR,0.00042368
design_powergrid__voltage__worst__net:VGND,0.000422589
design_powergrid__drop__worst__net:VGND,0.000422589
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00019100000000000000766227359338955693601747043430805206298828125
ir__drop__worst,0.000424000000000000006224187831804783854749985039234161376953125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
